Opt_Goal,Player_Type,VIF_Threshold,Model,Validator,Result_MCC,Result_Precision,Result_Recall,Result_AUPRC,Brier_Score,Opt_Threshold,Num_Features,Golden_Features
mcc,hitter,5.01,LogisticRegression,StratifiedKFold,0.339514704897253,0.6428571428571429,0.1836734693877551,0.3954049599918287,0.009766668982365084,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,RandomForest,StratifiedKFold,0.39275382284061167,0.7692307692307693,0.20408163265306123,0.3753070609951881,0.009787876720634303,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,XGBoost,StratifiedKFold,0.32396297002866736,0.2878787878787879,0.3877551020408163,0.34172609350403016,0.028097497299313545,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,LinearSVC,StratifiedKFold,0.40196593082981114,0.7333333333333333,0.22448979591836735,0.4350371567011015,0.009366129664303273,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,EBM,StratifiedKFold,0.4623934793174543,0.6296296296296297,0.3469387755102041,0.4733280265316829,0.009107616695022394,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,BalancedRandomForest,StratifiedKFold,0.17683864995599632,0.04665314401622718,0.9387755102040817,0.05224204876453212,0.2131883084496886,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,LogisticRegression,RepeatedStratifiedKFold,0.339514704897253,0.6428571428571429,0.1836734693877551,0.3954049599918287,0.009766668982365084,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,RandomForest,RepeatedStratifiedKFold,0.39275382284061167,0.7692307692307693,0.20408163265306123,0.3753070609951881,0.009787876720634303,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,XGBoost,RepeatedStratifiedKFold,0.32396297002866736,0.2878787878787879,0.3877551020408163,0.34172609350403016,0.028097497299313545,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,LinearSVC,RepeatedStratifiedKFold,0.40196593082981114,0.7333333333333333,0.22448979591836735,0.4350371567011015,0.009366129664303273,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,EBM,RepeatedStratifiedKFold,0.4623934793174543,0.6296296296296297,0.3469387755102041,0.4733280265316829,0.009107616695022394,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,5.01,BalancedRandomForest,RepeatedStratifiedKFold,0.17683864995599632,0.04665314401622718,0.9387755102040817,0.05224204876453212,0.2131883084496886,0.5,23,"batting_BAbip, batting_SH, batting_ABPerK, batting_ABPerHR, batting_3B, post_batting_BAbip, post_batting_SH, batting_GIDP, batting_CS, post_batting_SB, post_batting_ISO, ASGs, post_batting_ABPerHR, MVPs, post_batting_CS, ASGMVPs, GoldGloves, post_batting_SF, PEDUser, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,LogisticRegression,StratifiedKFold,0.39973890102076554,0.6666666666666666,0.24489795918367346,0.4152342182129496,0.009347561039622587,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,RandomForest,StratifiedKFold,0.34114525550131497,0.7272727272727273,0.16326530612244897,0.4080307889829673,0.009691332223576219,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,XGBoost,StratifiedKFold,0.4195107722456057,0.3898305084745763,0.46938775510204084,0.34663277890458394,0.030465276911854744,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,LinearSVC,StratifiedKFold,0.41172744443872844,0.7058823529411765,0.24489795918367346,0.4529843131592133,0.008983314903733084,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,EBM,StratifiedKFold,0.4346205505965212,0.5925925925925926,0.32653061224489793,0.4848859952257794,0.009064353127553614,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,BalancedRandomForest,StratifiedKFold,0.18773812872603596,0.04978813559322034,0.9591836734693877,0.06982112698810619,0.20310212356215754,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,LogisticRegression,RepeatedStratifiedKFold,0.4217714887213838,0.6842105263157895,0.2653061224489796,0.43071566465993344,0.009304371519085653,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
